info_Nombre de la publicación aprobada por el Indautor,info_No. Expediente en CCPRI,info_Periodicidad,info_Nombre comercial,info_Nombre fiscal,info_RFC del medio impreso,info_Estado,info_Número exterior,info_Código postal,info_Municipio,info_Colonia,info_Calle,info_Teléfono1,info_Presidente/a,info_Director/a editorial,info_Jefe/a de información y/o redacción,info_Fecha fundación,info_Fecha ejemplar,info_Página electrónica,info_Correo electrónico,info_Director/a general,info_Representante legal,info_Gerente comercial,info_Ejemplar de muestra,info_Cuenta con código de ética,info_Carta protesta firmada por el/la títular o el/la representante legal del medio impreso sobre requisitos obligatorios,info_Carta de conocimiento de leyes generales firmada por el/ella representante legal y editor(a) responsable,info_Tipo Tarifa,circulacion_Nombre de la publicación aprobada por el Indautor,circulacion_No. Expediente en CCPRI,circulacion_Periodicidad,circulacion_Fecha de ingreso/actualización del archivo PDF en el sistema,circulacion_Fecha de emisión del certificado,circulacion_Tiraje promedio,circulacion_Tipo de persona física o moral que lleva a cabo la certificación,"circulacion_Nombre, denominación social o razón social según corresponda",circulacion_Número de ediciones evaluadas,circulacion_Promedio de circulación,circulacion_Ventas,circulacion_Devoluciones,circulacion_Circulación pagada,circulacion_Promedio de circulación pagada,perfil_Nombre de la publicación aprobada por el Indautor,perfil_No. Expediente en CCPRI,perfil_Periodicidad,"perfil_Nombre, denominación o razón social",perfil_Estado,perfil_Núm. Exterior,perfil_Núm. Interior,perfil_Código Postal,perfil_Municipio/Delegación,perfil_Colonia,perfil_Calle,perfil_Teléfono,perfil_Página electrónica,perfil_Instrumento de medición,perfil_Universo,perfil_Tamaño de muestra,perfil_Nivel de confianza,perfil_Inicio,perfil_Termino,perfil_Tipo de entrevista o estrategia para el estudio,perfil_Margen de error,perfil_Mujeres,perfil_Hombres,perfil_Urbana,19-24,25-34,35-44,45-54,AB/C+,C,D+,Licenciatura,Postgrado,Preparatoria o Carrera Técnica,Primaria,Secundaria,Ama De Casa,Estudiante,Otro,Retirado,Trabaja Tiempo,Trabaja Tiempo Completo,info_Gerente general,circulacion_Curriculum,perfil_Persona que realiza el perfil del/la lector/a,perfil_Correo Electrónico,55-64,65 y más,D/E,Comerciante,Empleado,Hogar,Industrial,Obrero,Profesionista,circulacion_Distribución gratuita,circulacion_Circulación gratuita,circulacion_Promedio de circulación gratuita,Jubilado,Labores Del Hogar,info_Teléfono2,circulacion_Suscripciónes pagadas,Empleado IP,Empresario,Profesionista Independiente,Servidor Público,perfil_Rural,13-18,Iniciativa Privada,info_Número interior,circulacion_Directorio,circulacion_Metodología,Autoempleado,Director/Gerente,Maestro,Labor De Hogar,circulacion_Distribución a personas identificadas,circulacion_Circulación controlada,circulacion_Promedio de circulación controlada,Trabaja Medio Tiempo,0-12,Comerciantes,Desempleados,Estudiantes,Industriales,Política,Profesionistas,Otros,Sin Estudios,Empleados,Funcionarios,Al Hogar,Jubilado/Pensionado/Retirado,Temporalmente Desempleado,Trabaja,circulacion_Distribución calificada,circulacion_Circulación calificada,circulacion_Promedio de circulación calificada,info_Teléfono3,info_Teléfono4,Pensionado,Jubilado O Pensionado,Profesionistas Independientes,Otra,info_Fax,PPProfesionista Independiente,Agricultor,Ejecutivo,Funcionario Publico,Gobierno,Trabajo Por Su Cuenta,Desempleado,perfil_Mixta,Agricultor/Campesino,Comerciante Ambulante,Comerciante Formal,Empleado Empresa Privada,Pensionado/Jubilado,Periodista,Profesor,Trabaja Por Su Cuenta Como Profesionista,Trabaja Por Su Cuenta En Oficios,Funcionario Público,Sector Empresarial,Negocio Propio,Obrero / Artesano,Por Su Cuenta,Ventas,CASA,ESCUELA,OTROS,TRABAJO,TRANSPORTE,Independientes,Sector Público,Retiro,Trabajo Mediotiempo,Trabajo Tiempo Completo,Al Hogar Y Trabaja 1/2 Tiempo,Estudiante Y Trabaja 1/2 Tiempo,Solo Trabaja 1/2 Tiempo,Director,Dueño O Socio,Gerente,Empleado Privado O Público,Trabaja Medío Tiempo,Agricultor Y Ganadero,Temporamente Desemplado,Estudiante Y Trabaja Medio Tiempo,Servidor Publico,Labores DelHogar,Servidores Público,Profesionista Independiene,Empleado Independiente,Rofesionista,Servicio Pública,Estudiante Y Trabaja,Trabajo,No Contestó,Servicio Publico,Estudiante Y Trabaja 1/2 Medio Tiempo,Funcionario,circulacion_Vendidos a un precio menor del 50%,EMPLEADOS,FUNCIONARIOS,PROFESIONISTAS,Empresario IP,Empresa,Trabaja Por Su Cuenta,IP,Jubildo,Jubilado/pensionado/retirado,Político,Estudiente,Administrativos,Educadores,"Otros Profesionistas Diversos (ingenieros, Contadores)",Esmpresario,Trabajo Completo,Trabajo Medio Tiempo,Amas De Casa,Ejecutivas,Empresaria,Comercante,Profeaionista,Estudante,Estuiante,Empleado Ip,Comerciate,Profesional Independiente,Empleo IP,Servicio Público,Administración Pública,Diseño / Propietario,Jubilado O Pendionado,Agricultor O Ganadero,Empleado Privado,Jubilado Y Pensionado,Patrón/Empresario/Profesionista/Independiente,Trabaja Medo Tiempo,Obrero Pemex,Profesionista Independietne,Servicios Públicos,info_Alto,Estudiante Trabaja 1/2 Tiempo
EL DEBATE DE GUASAVE,1/432-87-05046,Diario,El Debate De Guasave,"El Debate, S.A de C.V",DEB800830RU6,Sinaloa,52,81000,Guasave,Centro,Cuauhtémoc,687.827.3200 ,Idelfonso Salido Ibarra,Andrea Miranda,Edgar Vega,24 OCT 1984,22 MAR 2022, www.debate.com.mx,debate@debate.com.mx,Shamalak Edison Ibarra Valdéz,Anabel de la Rocha,María de los Ángeles Avendaño,SI,SI,SI,SI,Periódico,EL DEBATE DE GUASAVE,1/432-87-05046,Diario,02 MAY 2022,17 MAR 2022,10043,Certificadora,Agencia Certificadora y Gestora de Medios SC,88,9871,623216,15136,868648,9871,EL DEBATE DE GUASAVE,1/432-87-05046,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Encuesta,9871,361,96,11 MAR 2022,18 MAR 2022,Internet,Más Menos Cuatro,45%,55%,91%,29%,25%,21%,11%,73%,,27%,37%,2%,40%,5%,16%,,11%,2%,,,,,,MORAL,acgm.sc@gmail.com,3%,,,9%,10%,18%,,,19%,,,,,,,260568,,,,,9%,11%,31%,Ote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL DEBATE DE LOS MOCHIS,1/432-87-05047,Diario,El Debate De Los Mochis,"El Debate, S.A de C.V",DEB800830RU6,Sinaloa,55,81200,Los Mochis,Primer Cuadro Centro,Av. Alvaro Obregón Ote.,668 816 04 00 ,Luis Javier Salido Artola,Maria Andrea Miranda Ramos,Cristina Muñoz Grageda,10 MAR 1941,22 MAR 2022, www.debate.com.mx,,Shamalak Edison Ibarra Váldez,Anabel de la Rocha Ruelas,Lucero Ramírez Serna,SI,NO,SI,SI,Periódico,EL DEBATE DE LOS MOCHIS,1/432-87-05047,Diario,02 MAY 2022,18 MAR 2022,19606,Certificadora,Agencia Certificadora y Gestora de Medios SC,88,19269,1216688,29656,1695672,19269,EL DEBATE DE LOS MOCHIS,1/432-87-05047,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Cuestionario,19269,426,95,11 MAR 2022,18 MAR 2022,Internet,Más Menos Cinco,48%,52%,95%,19%,30%,26%,21%,64%,,24%,44%,6%,31%,5%,14%,,10%,4%,,,,Edison Ibarra,,MORAL,acgm.sc@gmail.com,4%,,12%,10%,20%,14%,,,26%,,,,,,,508640,,,,,5%,,16%,Ote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL DEBATE DE MAZATLAN,1/432-00-15306,Diario,El Debate De Mazatlan,"Empresas El Debate, S.A de C.V",EDE000301QT5,Sinaloa,1,82157,Mazatlán,Costa Brava,Avenida Circunvalación,669.989.0900 ,Luis Javier Salido Artola,María Andrea Miranda Ramos,Jesús Orlando Samaniego Meza,15 FEB 2022,22 MAR 2022, www.debate.com.mx,mary.avendano@debate.com.mx,Shamalak Edison Ibarra Valdéz,Shamalak Edison Ibarra Valdez,Abigail Ramírez Valdez,SI,NO,SI,SI,Periódico,EL DEBATE DE MAZATLAN,1/432-00-15306,Diario,02 MAY 2022,18 MAR 2022,6395,Certificadora,Agencia Certificadora y Gestora de Medios SC,88,6285,396880,9680,553080,6285,EL DEBATE DE MAZATLAN,1/432-00-15306,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Entrevista,6285,296,96,11 MAR 2022,18 MAR 2022,Internet,Más Menos Cuatro,39%,61%,98%,19%,33%,26%,16%,65%,,24%,40%,6%,32%,6%,16%,,11%,2%,,,,,,MORAL,acgm.sc@gmail.com,6%,,11%,16%,14%,20%,,,24%,,,,,,,165880,,,,,2%,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL DEBATE GUAMUCHIL,1/432-87-05048,Diario,El Debate Guamuchil,"Empresas El Debate, S.A de C.V.",EDE000301QT5,Sinaloa,555,81490,Salvador Alvarado,Centro,Silverio Trueba y 22 de Dic.,673.732.5150 ,Luis Javier Salido Artola,María Andrea Miranda Ramos,Vianey Contreras,,15 FEB 2022, www.debate.com.mx,mary.avendano@debate.com.mx,Shamalak Edison Ibarra Valdez,Shamalak Edison Ibarra Valdez,Oralia Rendon Gaxiola,SI,NO,SI,SI,Periódico,EL DEBATE GUAMUCHIL,1/432-87-05048,Diario,02 MAY 2022,17 MAR 2022,3883,Certificadora,Agencia Certificadora y Gestora de Medios SC,88,3816,241032,5896,335808,3816,EL DEBATE GUAMUCHIL,1/432-87-05048,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Encuesta,3816,203,97,10 MAR 2022,17 MAR 2022,Internet,Más Menos Tres,48%,52%,93%,16%,29%,21%,24%,35%,28%,27%,38%,13%,33%,4%,12%,,9%,4%,,,,,,MORAL,acgm.sc@gmail.com,7%,3%,10%,10%,8%,16%,,,21%,,,,,,,100672,,,,,7%,,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL SOL DE MAZATLAN,CCPRI/3/TC/09/18291,Diario,El Sol De Mazatlan,"Cía. Periodística El Sol de Mazatlán, S. A. de C. V.",PSM040701E94,Sinaloa,312,82040,Mazatlán,Playa Sur,Av. Miguel Alemán,01.669.915.5600 ,Paquita Ramos de Vázquez,Juan Veledíaz Alvares,Juan Carlos Cruz García,17 DIC 2004,30 SEP 2018, www.oem.com.mx,dirmaz@oem.com.mx,Paquita Ramos de Vázquez,Carlos Salvador Huerta Lara,Selene Bojorges Valenzuela,SI,NO,SI,SI,Periódico,EL SOL DE MAZATLAN,CCPRI/3/TC/09/18291,Diario,12 MAR 2019,07 MAR 2019,7229,Certificadora,"Agencia Certificadora y Gestora de Medios, S.C.",88,7229,636152,,636152,7229,EL SOL DE MAZATLAN,CCPRI/3/TC/09/18291,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,http://www.agenciacgm.com,Cuestionario,7229,523,97,28 FEB 2019,07 MAR 2019,,Más Menos Tres,47%,53%,100%,6%,25%,39%,23%,30%,18%,33%,45%,5%,34%,,16%,11%,8%,,,,,Paquita Ramos de Vázquez,,MORAL,acgm.sc@gmail.com,7%,,19%,32%,21%,,,,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL SOL DE SINALOA,CCPRI/3/TC/08/18058,Diario,El Sol De Sinaloa,"Cía. Periodística del Sol de Culiacán, S.A. de C.V.",CPS100601Q78,Sinaloa,320,80000,Culiacán,Centro,Blvd. Gabriel Leyva Solano,667.713.1597 ,Paquita Ramos de Vázquez,Juan Velediaz Álvarez,Alma Angelina Soto Galván,01 DIC 1956,10 OCT 2018, www.oem.com.mx,dircul@oem.com.mx,Paquita Ramos de Vázquez,Carlos Salvador Huerta Lara,Selene Bojorges Valenzuela,SI,NO,SI,SI,Periódico,EL SOL DE SINALOA,CCPRI/3/TC/08/18058,Diario,12 MAR 2019,07 MAR 2019,12480,Certificadora,"Agencia Certificadora y Gestora de Medios, S.C.",88,12480,1098240,,1098240,12480,EL SOL DE SINALOA,CCPRI/3/TC/08/18058,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,http://www.agenciacgm.com,Encuesta,12480,1478,96,28 FEB 2019,07 MAR 2019,Internet,Más Menos Cuatro,47%,53%,100%,6%,25%,39%,23%,30%,18%,33%,38%,7%,35%,,20%,20%,7%,,,,,Paquita Ramos de Vázquez,SI,MORAL,acgm.sc@gmail.com,7%,,19%,34%,17%,,,,19%,,,,,,,,,,,,,,,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAMUCHIL LA I NOTICIAS PARA MI,CCPRI/3/TC/13/19979,Diario,Guamuchil La I Noticias Para Mi,"Empresas El Debate, S.A.de C.V.",EDE000301QT5,Sinaloa,555,81400,Salvador Alvarado,Centro,Silverio Trueba y 22 de Dic.,673.732.5150 ,Luis Javier Salido Artola,María Andrea Miranda Ramos,Vianey Contreras,,22 MAR 2022, www.debate.com.mx,mary.avendano@debate.com.mx,Shamalak Edison Ibarra Valdez,Shamalak Edison Ibarra Valdez,Oralia Rendón Gaxiola,SI,NO,SI,SI,Periódico,GUAMUCHIL LA I NOTICIAS PARA MI,CCPRI/3/TC/13/19979,Diario,02 MAY 2022,15 MAR 2022,2924,Certificadora,Agencia Certificadora y Gestora de Medios SC,88,2853,182072,6248,251064,2853,GUAMUCHIL LA I NOTICIAS PARA MI,CCPRI/3/TC/13/19979,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Cuestionario,2853,273,95,08 MAR 2022,15 MAR 2022,Internet,Más Menos Cinco,48%,52%,87%,9%,19%,27%,21%,22%,31%,21%,16%,,24%,27%,29%,,9%,1%,,,,,,MORAL,acgm.sc@gmail.com,11%,10%,26%,,26%,16%,,,,,,,,,,75240,,,,,13%,3%,5%,,,,,,,,,,,,,,,,,,,,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28%,15%,,,,,,,,,,,,,,,,,,,,
GUASAVE LA I NOTICIAS PARA MI,CCPRI/3/TC/13/19981,Diario,Guasave La I Noticias Para Mi,"El Debate, S.A. de C.V.",DEB800830RU6,Sinaloa,52,81000,Guasave,Centro,Av. Cuauhtémoc,687 872 3200 ,Ildefonso Salido Ibarra,Andrea Miranda,Edgar Vega,08 JUL 2010,23 ABR 2022, www.debate.com.mx,debate@debate.com.mx,Edison Ibarra,Anabel de la Rocha,María de los Ángeles Avendaño,SI,SI,SI,SI,Periódico,GUASAVE LA I NOTICIAS PARA MI,CCPRI/3/TC/13/19981,Diario,02 MAY 2022,17 MAR 2022,3038,Certificadora,Agencia Certificadora y Gestora de Medios SC,88,2986,188584,4576,262768,2986,GUASAVE LA I NOTICIAS PARA MI,CCPRI/3/TC/13/19981,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Cuestionario,2986,284,95,10 MAR 2022,17 MAR 2022,Internet,Más Menos Cinco,47%,53%,94%,13%,34%,19%,12%,23%,47%,17%,19%,42%,,15%,22%,,9%,2%,,,,,SI,MORAL,acgm.sc@gmail.com,7%,5%,13%,25%,33%,13%,,,11%,,,,,,,78760,,,,,6%,10%,7%,Ote,SI,,,,,,,,,,,,,,,,,,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA SIRENA CULIACAN,CCPRI/3/TC/13/19743,Diario,La Sirena Culiacan,"Empresas El Debate, S.A. de C.V.",EDE000301QT5,Sinaloa,555,80000,Culiacán,Centro,Francisco I Madero,667.759.0900 ,Luis Javier Salido Artola,María Andrea Miranda Ramos,Gustavo Lizarraga Reyes,,12 DIC 2018, www.debate.com.mx,mary.avendano@debate.com.mx,Edison Shamalak Ibarra Valdéz,Edison Shamalak Ibarra Valdéz,María de los Ángeles Avendaño Gálvez,SI,NO,SI,SI,Periódico,LA SIRENA CULIACAN,CCPRI/3/TC/13/19743,Diario,17 ENE 2019,12 DIC 2018,30000,Certificadora,"Agencia Certificadora y Gestora de Medios, S.C.",91,29849,2730000,13741,2716259,29849,LA SIRENA CULIACAN,CCPRI/3/TC/13/19743,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,http://www.agenciacgm.com,Cuestionario,29849,930,96,05 DIC 2018,12 DIC 2018,Internet,Más Menos Cuatro,58%,42%,5%,26%,31%,14%,14%,14%,40%,21%,27%,,28%,19%,24%,,,,,,,Edison Shamalak Ibarra Valdez,,MORAL,acgm.sc@gmail.com,4%,2%,25%,21%,24%,13%,,,8%,,,,,,,,,,,,95%,9%,6%,,,,,,,,,,,,,,,,,,,8%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,
LA SIRENA GUAMUCHIL,CCPRI/3/TC/13/19796,Diario,La Sirena Guamuchil,"EL DEBATE, S.A. DE C.V.",DEB800830RU6,Sinaloa,1,81400,Salvador Alvarado,CENTRO,Silverio Trueba y 22 de DIC.,67.3732.5150 ,Luis Javier Salido Artola,María Andrea Miranda Ramos,Vianey Contreras,,04 DIC 2018, www.debate.com.mx,mary.avendano@debate.com.mx,,Edison Shamalak Ibarra Valdez,Oralia Rendon Gaxiola,SI,NO,SI,SI,Periódico,LA SIRENA GUAMUCHIL,CCPRI/3/TC/13/19796,Diario,21 DIC 2018,12 DIC 2018,7150,Certificadora,"Agencia Certificadora y Gestora de Medios, S.C.",91,7074,650650,6916,643734,7074,LA SIRENA GUAMUCHIL,CCPRI/3/TC/13/19796,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,http://www.agenciacgm.com,Cuestionario,7074,320,95,05 DIC 2018,12 DIC 2018,Internet,Más Menos Cinco,36%,64%,84%,12%,18%,13%,20%,18%,28%,28%,11%,,30%,35%,18%,,20%,,,,,Edison Shamalak Ibarra Valdez,,MORAL,acgm.sc@gmail.com,17%,17%,26%,13%,18%,22%,,,12%,,,,,,,,,,,,16%,3%,7%,S/N,,,,,,,,,,,,,,,,,,8%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA SIRENA GUASAVE,CCPRI/3/TC/13/19776,Diario,La Sirena Guasave,"El Debate, S.A. de C.V.",DEB800830RU6,Sinaloa,52,81000,Guasave,Centro,Cuauhtémoc,66.7872.3200 ,Ildefonso Salido Ibarra,Andrea Miranda,Edgar Vega,01 AGO 2012,12 DIC 2018, www.debate.com.mx,debate@debate.com.mx,Edison Ibarra,Anabel de la Rocha,Mary Avendaño,SI,NO,SI,SI,Periódico,LA SIRENA GUASAVE,CCPRI/3/TC/13/19776,Diario,20 DIC 2018,12 DIC 2018,11800,Certificadora,"Agencia Certificadora y Gestora de Medios, S.C.",91,11532,1073800,24388,1049412,11532,LA SIRENA GUASAVE,CCPRI/3/TC/13/19776,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,http://www.agenciacgm.com,Cuestionario,11532,720,96,05 DIC 2018,12 DIC 2018,Internet,Más Menos Cuatro,56%,44%,22%,19%,24%,19%,16%,38%,16%,19%,15%,1%,33%,19%,26%,,15%,,,,,Edison Ibarra,,MORAL,acgm.sc@gmail.com,8%,4%,27%,16%,21%,16%,,,18%,,,,,,,,,,,,78%,6%,7%,,,,,,,,,,,,4%,,,,,,,7%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA SIRENA LOS MOCHIS,CCPRI/3/TC/13/19775,Diario,La Sirena Los Mochis,"El Debate, S.A. de C.V.",DEB800830RU6,Sinaloa,55,81200,Los Mochis,Centro,Álvaro Obregón Oriente,668.816.0400 ,Ildefonso Salido Ibarra,Andrea Miranda,Cristina Muñoz,01 AGO 2012,12 DIC 2018, www.debate.com.mx,debate@debate.com.mx,Edison Ibarra,Anabel de la Rocha,Vanessa Torres,SI,NO,SI,SI,Periódico,LA SIRENA LOS MOCHIS,CCPRI/3/TC/13/19775,Diario,08 MAR 2019,12 DIC 2018,20550,Certificadora,Agencia Certificadora y Gestora de Medios SC,91,20262,1870050,26208,1843842,20262,LA SIRENA LOS MOCHIS,CCPRI/3/TC/13/19775,Diario,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Cuestionario,20262,100,95,05 DIC 2018,12 DIC 2018,Internet,Más Menos Cinco,60%,40%,86%,28%,16%,18%,12%,11%,42%,46%,21%,1%,33%,19%,23%,,10%,,,,,,,MORAL,acgm.sc@gmail.com,5%,7%,,25%,34%,12%,,,10%,,,,,,,,,,,,14%,13%,7%,,,,,,,,,,,,1%,,,,,,,2%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA SIRENA MAZATLAN,CCPRI/3/TC/13/19744,Diario,La Sirena Mazatlan,Empresas El Debate S.A de C.V,EDE000301QT5,Sinaloa,55,81200,Los Mochis,Centro,Álvaro Obregón,669.989.0900 ,Luis Javier Salido Artola,María Andrea Miranda Ramos,Jesús Orlando Samaniego Meza,01 AGO 2012,12 DIC 2018, www.debate.com.mx,mary.avendano@debate.com.mx,Edison Shamalak Ibarra Valdez,Edison Shamalak Ibarra Valdez,Avigail Ramírez Valdez,SI,NO,SI,SI,Periódico,LA SIRENA MAZATLAN,CCPRI/3/TC/13/19744,Diario,22 FEB 2019,12 DIC 2018,33200,Certificadora,"Agencia Certificadora y Gestora de Medios, S.C.",91,32842,3021200,32578,2988622,32842,LA SIRENA MAZATLAN,CCPRI/3/TC/13/19744,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,http://www.agenciacgm.com,Encuesta,32842,2247,96,05 DIC 2018,12 DIC 2018,Internet,Más Menos Cuatro,54%,46%,98%,51%,20%,9%,6%,42%,44%,7%,54%,,31%,7%,6%,,10%,,,,,,,MORAL,acgm.sc@gmail.com,5%,2%,7%,24%,21%,18%,,,12%,,,,,,,,,,,,2%,7%,13%,Ote,,,,,,,,,,,,,,,,,,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS MOCHIS LA I NOTICIAS PARA MI,CCPRI/3/TC/13/19980,Diario,Los Mochis La I Noticias Para Mi,"El Debate, S.A. de C.V.",DEB800830RU6,Sinaloa,55,81200,Los Mochis,Primer Cuadro Centro,Álvaro Obregón Ote.,668.816.0400 ,Luis Javier Salido Artola,María Andrea Miranda Ramos,Cristina Muñoz Grageda,01 MAR 1941,22 MAR 2022, www.debate.com.mx,,Shamalak Edison Ibarra Váldez,Anabel de la Rocha Ruelas,Lucero Ramírez Serna,SI,NO,SI,SI,Periódico,LOS MOCHIS LA I NOTICIAS PARA MI,CCPRI/3/TC/13/19980,Diario,02 MAY 2022,16 MAR 2022,13841,Certificadora,Agencia Certificadora y Gestora de Medios SC,88,13504,861520,29656,1188352,13504,LOS MOCHIS LA I NOTICIAS PARA MI,CCPRI/3/TC/13/19980,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Encuesta,13504,428,97,09 MAR 2022,16 MAR 2022,Internet,Más Menos Siete,41%,59%,94%,21%,29%,16%,10%,25%,46%,29%,29%,,42%,8%,20%,,,3%,,,,,,MORAL,acgm.sc@gmail.com,6%,5%,,28%,29%,14%,,,12%,,,,,,,356488,,,,,6%,13%,5%,Ote,,,,,,,,,,,,,,,,,,,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,,,,,,,,,,,,,,,,,,
